Train Step:2250, Train Loss:1.4576, Val Acc:0.1066
Train Step:2260, Train Loss:1.1892, Val Acc:0.1065
Train Step:2270, Train Loss:1.5573, Val Acc:0.1069
Train Step:2280, Train Loss:1.6354, Val Acc:0.1071
Train Step:2290, Train Loss:1.3132, Val Acc:0.1071
Train Step:2300, Train Loss:1.3495, Val Acc:0.1069
Train Step:2310, Train Loss:1.4823, Val Acc:0.1069
Train Step:2320, Train Loss:1.8464, Val Acc:0.1070
Train Step:2330, Train Loss:2.0801, Val Acc:0.1073
Train Step:2340, Train Loss:1.7581, Val Acc:0.1075
Train Step:2350, Train Loss:1.5399, Val Acc:0.1074
Train Step:2360, Train Loss:1.7513, Val Acc:0.1079
Train Step:2370, Train Loss:1.5762, Val Acc:0.1082
Train Step:2380, Train Loss:1.4985, Val Acc:0.1083
Train Step:2390, Train Loss:1.7618, Val Acc:0.1085
Train Step:2400, Train Loss:1.4969, Val Acc:0.1085
Train Step:2410, Train Loss:1.5356, Val Acc:0.1085
Train Step:2420, Train Loss:1.6688, Val Acc:0.1084
Train Step:2430, Train Loss:1.8241, Val Acc:0.1087
Train Step:2440, Train Loss:1.5118, Val Acc:0.1088
Train Step:2450, Train Loss:1.2162, Val Acc:0.1088
Train Step:2460, Train Loss:1.7671, Val Acc:0.1085
Train Step:2470, Train Loss:1.7474, Val Acc:0.1082
Train Step:2480, Train Loss:1.2772, Val Acc:0.1082
Train Step:2490, Train Loss:1.3057, Val Acc:0.1075
Train Step:2500, Train Loss:1.4304, Val Acc:0.1076
Train Step:2510, Train Loss:1.5867, Val Acc:0.1077
Train Step:2520, Train Loss:1.4230, Val Acc:0.1078
Train Step:2530, Train Loss:1.6501, Val Acc:0.1082
Train Step:2540, Train Loss:1.4671, Val Acc:0.1084
Train Step:2550, Train Loss:1.6218, Val Acc:0.1082
Train Step:2560, Train Loss:1.6554, Val Acc:0.1085
Train Step:2570, Train Loss:1.8284, Val Acc:0.1084
Train Step:2580, Train Loss:1.6039, Val Acc:0.1084
Train Step:2590, Train Loss:1.4785, Val Acc:0.1082
Train Step:2600, Train Loss:1.3869, Val Acc:0.1078
Train Step:2610, Train Loss:1.6041, Val Acc:0.1078
Train Step:2620, Train Loss:1.6507, Val Acc:0.1077
Train Step:2630, Train Loss:1.1720, Val Acc:0.1077
Train Step:2640, Train Loss:1.3635, Val Acc:0.1078
Train Step:2650, Train Loss:1.4813, Val Acc:0.1078
Train Step:2660, Train Loss:1.6624, Val Acc:0.1079
Train Step:2670, Train Loss:1.6231, Val Acc:0.1084
Train Step:2680, Train Loss:1.5655, Val Acc:0.1084
Train Step:2690, Train Loss:1.2689, Val Acc:0.1086
Train Step:2700, Train Loss:1.6326, Val Acc:0.1084
Train Step:2710, Train Loss:1.2936, Val Acc:0.1088
Train Step:2720, Train Loss:1.4332, Val Acc:0.1090
Train Step:2730, Train Loss:1.5276, Val Acc:0.1091
Train Step:2740, Train Loss:1.6141, Val Acc:0.1089
Train Step:2750, Train Loss:1.7600, Val Acc:0.1086
Train Step:2760, Train Loss:1.7180, Val Acc:0.1088
Train Step:2770, Train Loss:1.7391, Val Acc:0.1092
Train Step:2780, Train Loss:1.3634, Val Acc:0.1095
Train Step:2790, Train Loss:1.4692, Val Acc:0.1096
Train Step:2800, Train Loss:1.3960, Val Acc:0.1098
Train Step:2810, Train Loss:1.5038, Val Acc:0.1094
Train Step:2820, Train Loss:1.3488, Val Acc:0.1094
Train Step:2830, Train Loss:1.7891, Val Acc:0.1092
Train Step:2840, Train Loss:1.6206, Val Acc:0.1092
Train Step:2850, Train Loss:1.7652, Val Acc:0.1088
Train Step:2860, Train Loss:1.2514, Val Acc:0.1086
Train Step:2870, Train Loss:1.8202, Val Acc:0.1086
Train Step:2880, Train Loss:1.3783, Val Acc:0.1084
Train Step:2890, Train Loss:1.1808, Val Acc:0.1084
Train Step:2900, Train Loss:1.1651, Val Acc:0.1079
Train Step:2910, Train Loss:1.5773, Val Acc:0.1081
Train Step:2920, Train Loss:1.2763, Val Acc:0.1083
Train Step:2930, Train Loss:1.5076, Val Acc:0.1087
Train Step:2940, Train Loss:1.5568, Val Acc:0.1085
Train Step:2950, Train Loss:1.6296, Val Acc:0.1091
Train Step:2960, Train Loss:1.2543, Val Acc:0.1093
Train Step:2970, Train Loss:1.6146, Val Acc:0.1092
Train Step:2980, Train Loss:1.6071, Val Acc:0.1091
Train Step:2990, Train Loss:1.3744, Val Acc:0.1088
Train Step:3000, Train Loss:1.4157, Val Acc:0.1091
Train Step:3010, Train Loss:1.4842, Val Acc:0.1085
Train Step:3020, Train Loss:1.7710, Val Acc:0.1083
Train Step:3030, Train Loss:1.1056, Val Acc:0.1084
Train Step:3040, Train Loss:1.4284, Val Acc:0.1083
Train Step:3050, Train Loss:1.5871, Val Acc:0.1083
Train Step:3060, Train Loss:1.1371, Val Acc:0.1088
